Tool,N threads,size,repetitions,usec
Pthreads,1,1000000,2000,4153113
Pthreads,1,1000000,2000,4220378
Pthreads,1,1000000,2000,4217768
Pthreads,1,1000000,2000,4212220
Pthreads,1,1000000,2000,4129035
Pthreads,1,1000000,2000,4215097
Pthreads,1,1000000,2000,4197977
Pthreads,1,1000000,2000,4198426
Pthreads,1,1000000,2000,4193598
Pthreads,1,1000000,2000,4132161
Pthreads,1,1000000,2000,4218166
Pthreads,1,1000000,2000,4217431
Pthreads,1,1000000,2000,4198755
Pthreads,1,1000000,2000,4128654
Pthreads,1,1000000,2000,4209172
Pthreads,1,1000000,2000,4112711
Pthreads,1,1000000,2000,4210146
Pthreads,1,1000000,2000,4128497
Pthreads,1,1000000,2000,4211955
Pthreads,2,1000000,1000,2091195
Pthreads,2,1000000,1000,2092940
Pthreads,2,1000000,1000,2092953
Pthreads,2,1000000,1000,2092822
Pthreads,2,1000000,1000,2087491
Pthreads,2,1000000,1000,2086689
Pthreads,2,1000000,1000,2084738
Pthreads,2,1000000,1000,2083463
Pthreads,2,1000000,1000,2085573
Pthreads,2,1000000,1000,2089818
Pthreads,2,1000000,1000,2087724
Pthreads,2,1000000,1000,2094924
Pthreads,2,1000000,1000,2083305
Pthreads,2,1000000,1000,2081845
Pthreads,2,1000000,1000,2086988
Pthreads,2,1000000,1000,2084602
Pthreads,2,1000000,1000,2090715
Pthreads,2,1000000,1000,2083785
Pthreads,2,1000000,1000,2092591
Pthreads,2,1000000,1000,2085160
Pthreads,4,1000000,500,1095944
Pthreads,4,1000000,500,1096432
Pthreads,4,1000000,500,1102496
Pthreads,4,1000000,500,1097365
Pthreads,4,1000000,500,1096965
Pthreads,4,1000000,500,1095135
Pthreads,4,1000000,500,1100033
Pthreads,4,1000000,500,1100927
Pthreads,4,1000000,500,1097379
Pthreads,4,1000000,500,1094325
Pthreads,4,1000000,500,1095467
Pthreads,4,1000000,500,1123325
Pthreads,4,1000000,500,1098718
Pthreads,4,1000000,500,1097125
Pthreads,4,1000000,500,1101749
Pthreads,4,1000000,500,1096315
Pthreads,4,1000000,500,1104135
Pthreads,4,1000000,500,1096774
Pthreads,4,1000000,500,1093885
Pthreads,4,1000000,500,1103531
Pthreads,8,1000000,250,995716
Pthreads,8,1000000,250,988656
Pthreads,8,1000000,250,985882
Pthreads,8,1000000,250,985552
Pthreads,8,1000000,250,987650
Pthreads,8,1000000,250,988662
Pthreads,8,1000000,250,991561
Pthreads,8,1000000,250,987811
Pthreads,8,1000000,250,987201
Pthreads,8,1000000,250,990295
Pthreads,8,1000000,250,984374
Pthreads,8,1000000,250,984316
Pthreads,8,1000000,250,985508
Pthreads,8,1000000,250,984473
Pthreads,8,1000000,250,999765
Pthreads,8,1000000,250,985517
Pthreads,8,1000000,250,986020
Pthreads,8,1000000,250,986576
Pthreads,8,1000000,250,989813
Pthreads,8,1000000,250,983184
Pthreads,1,250000,2000,1041831
Pthreads,1,250000,2000,1039044
Pthreads,1,250000,2000,1041941
Pthreads,1,250000,2000,1045976
Pthreads,1,250000,2000,1042276
Pthreads,1,250000,2000,1045681
Pthreads,1,250000,2000,1042618
Pthreads,1,250000,2000,1043264
Pthreads,1,250000,2000,1043389
Pthreads,1,250000,2000,1042275
Pthreads,1,250000,2000,1048673
Pthreads,1,250000,2000,1045240
Pthreads,1,250000,2000,1028930
Pthreads,1,250000,2000,1044417
Pthreads,1,250000,2000,1042368
